movie_tag,book_tag
intense,intense
interesting,interesting
internet,internet
interracial romance,interracial romance
intimate,
investigation,investigation
iran,iran
iraq,iraq
iraq war,
ireland,ireland
irish,irish
irish accent,
ironic,
irreverent,
islam,islam
island,
isolation,isolation
israel,israel
italian,italian
italy,italy
james bond,
jane austen,
japan,japan
japanese,
jay and silent bob,
jazz,jazz
jesus,
jewish,jewish
jews,jews
journalism,journalism
judaism,judaism
jungle,jungle
justice,justice
kick-butt women,
kidnapping,kidnapping
kids,kids
kids and family,
king arthur,
kubrick,
kung fu,
kurosawa,
lame,
las vegas,las vegas
latin america,latin america
lawyer,
lawyers,lawyers
lesbian,lesbian
life,life
life & death,
life philosophy,
light,light
lions,lions
literary adaptation,
literature,literature
liv tyler,
london,london
lone hero,
loneliness,loneliness
long,
los angeles,los angeles
love,love
love story,love story
love triangles,love triangles
low budget,
lynch,
lyrical,
macabre,
mad scientist,
made for tv,
mafia,mafia
magic,magic
magic realism,magic realism
male nudity,
man versus machine,
manipulation,
marijuana,marijuana
marriage,marriage
mars,mars
martial arts,martial arts
marvel,
marx brothers,
masterpiece,
math,
mathematics,mathematics
maze,
medieval,medieval
meditative,
melancholic,
melancholy,
memory,memory
memory loss,memory loss
mental hospital,
mental illness,mental illness
mentor,
metaphysics,metaphysics
mexico,mexico
middle east,middle east
midlife crisis,midlife crisis
military,military
mindfuck,
mining,mining
minnesota,minnesota
mission from god,
mistaken identity,mistaken identity
miyazaki,
mob,
mockumentary,
modern fantasy,modern fantasy
money,money
monkey,
monster,
monsters,monsters
monty python,
moody,
moon,moon
moral ambiguity,
morality,morality
mother daughter relationship,
mother-son relationship,
motorcycle,
mountain climbing,mountain climbing
movie business,
movielens top pick,
moving,moving
mozart,
mtv,
multiple storylines,
mummy,
muppets,
murder,murder
murder mystery,
music,music
music business,
musical,musical
musicians,musicians
mutants,mutants
mystery,mystery
mythology,mythology
narrated,
nasa,
native americans,native americans
natural disaster,
nature,nature
nazi,
nazis,nazis
neil gaiman,
neo-nazis,
neo-noir,
nerds,nerds
new jersey,new jersey
new orleans,new orleans
new york,new york
new york city,new york city
new zealand,new zealand
ninja,
no dialogue,
no plot,
nocturnal,
noir,noir
noir thriller,
non-hollywood ending,
non-linear,
nonlinear,
nostalgia,nostalgia
nostalgic,
not as good as the first,
not funny,
notable nudity,
notable soundtrack,
nuclear,nuclear
nuclear bomb,
nuclear war,nuclear war
nudity,
nudity (full frontal - brief),
nudity (full frontal - notable),
nudity (full frontal),
nudity (rear),
nudity (topless - brief),
nudity (topless - notable),
nudity (topless),
obsession,obsession
ocean,
off-beat comedy,
office,office
oil,
olympics,olympics
ominous,
opera,opera
organized crime,organized crime
original,
original plot,
orphans,orphans
oscar,
oscar (best actor),
oscar (best actress),
oscar (best animated feature),
oscar (best cinematography),
oscar (best directing),
oscar (best editing),
oscar (best effects - visual effects),
oscar (best foreign language film),
oscar (best music - original score),
oscar (best music - original song),
oscar (best picture),
oscar (best sound),
oscar (best supporting actor),
oscar (best supporting actress),
oscar (best writing - screenplay written directly for the screen),
oscar winner,
over the top,
overrated,
palestine,palestine
parallel universe,parallel universe
paranoia,
paranoid,
parenthood,parenthood
paris,paris
parody,parody
passionate,
penguins,
perfect,
period piece,
peter pan,
pg,
pg-13,
philip k. dick,
philosophical,philosophical
philosophy,philosophy
photographer,
photography,photography
pigs,pigs
pirates,pirates
pixar,
pixar animation,
plot,
plot holes,
plot twist,plot twist
poetry,poetry
poignant,
pointless,
poker,
poland,poland
police,police
police corruption,
police investigation,
political,political
political corruption,
politics,politics
pornography,pornography
post apocalyptic,post apocalyptic
post-apocalyptic,
potential oscar nom,
poverty,poverty
powerful ending,
predictable,predictable
pregnancy,pregnancy
prejudice,prejudice
prequel,
president,
pretentious,
prison,
prison escape,
private detective,private detective
product placement,
prohibition,prohibition
propaganda,
prostitution,prostitution
psychedelic,
psychiatrist,
psychiatry,psychiatry
psychological,psychological
psychology,psychology
pulp,pulp
punk,punk
puppets,puppets
queer,queer
quirky,quirky
quotable,
rabbits,rabbits
race,race
race issues,
racing,racing
racism,racism
radio,radio
rags to riches,
rape,rape
rats,
realistic,realistic
realistic action,
reality tv,reality tv
rebellion,
redemption,redemption
reflective,
relationships,relationships
religion,religion
remade,
remake,
revenge,revenge
revolution,revolution
ridiculous,
rio de janeiro,
road movie,
road trip,
roald dahl,
robbery,
robert downey jr,
robert ludlum,
robot,
robots,robots
rock and roll,rock and roll
romance,romance
romantic,romantic
romantic comedy,romantic comedy
rome,rome
runaway,
russia,russia
russian,
sacrifice,
sad,sad
sad but good,
samurai,samurai
san francisco,san francisco
sappy,
sarcasm,
satire,satire
satirical,satirical
saturday night live,
saturn award (best science fiction film),
saturn award (best special effects),
scary,scary
scenic,
schizophrenia,schizophrenia
school,school
sci fi,
sci-fi,
science,science
science fiction,science fiction
scifi,
scifi cult,
scotland,scotland
screwball,
screwball comedy,
script,
secret service,secret service
secrets,secrets
segregation,segregation
self discovery,self discovery
sentimental,
sequel,
sequels,
serial killer,
series,
sex,sex
sex comedy,
sexual,sexual
sexual abuse,sexual abuse
sexuality,sexuality
sexualized violence,
sexy,sexy
shakespeare,
shallow,
shark,
shopping,shopping
short,short
short-term memory loss,
silent,
silly,silly
silly fun,
simple,
single father,single father
sisters,sisters
skinhead,
slackers,
slapstick,
slasher,
slavery,slavery
slow,
slow paced,
small town,
snakes,
so bad it's funny,
so bad it's good,
soccer,soccer
social commentary,social commentary
solitude,solitude
sophia coppola,
south africa,south africa
south america,south america
southern theme,
space,space
space opera,space opera
space program,
space travel,space travel
spaghetti western,
spain,spain
spanish,spanish
spanish civil war,spanish civil war
special,
special effects,
spelling bee,
spiders,spiders
spielberg,
spies,spies
splatter,
spock,
spoof,
sports,
spy,
spying,
stage magic,
stand-up comedy,
star trek,
star wars,
steampunk,steampunk
stereotypes,
stoner movie,
stop motion,
stop-motion,
story,story
storytelling,storytelling
stranded,stranded
strange,strange
strippers,strippers
studio ghibli,
stunning,
stupid,
stupid as hell,
stupidity,
stylish,
stylized,
submarine,
suburbia,suburbia
suicide,suicide
suicide attempt,
super hero,
super-hero,
superhero,
superheroes,superheroes
supernatural,supernatural
suprisingly clever,
surfing,surfing
surprise ending,surprise ending
surreal,surreal
surrealism,surrealism
surveillance,surveillance
survival,survival
suspense,suspense
suspenseful,
swashbuckler,
swedish,swedish
sweet,sweet
switching places,
sword fight,
sword fighting,
talking animals,talking animals
talky,
tarantino,
teacher,
tear jerker,tear-jerker
technology,technology
teen,teen
teen movie,
teenager,
teenagers,teenagers
teens,
teleportation,teleportation
television,television
tense,
terminal illness,terminal illness
terrorism,terrorism
texas,texas
thought-provoking,thought-provoking
thriller,thriller
time,time
time loop,
time travel,time travel
tokyo,tokyo
tolkien,
tom clancy,
too long,
too short,too short
torture,torture
touching,
toys,toys
tragedy,tragedy
train,
trains,trains
transformation,
transgender,transgender
travel,travel
treasure,treasure
treasure hunt,
tricky,
trilogy,
true story,true story
truman capote,
twist,twist
twist ending,
twists & turns,
undercover cop,
underdog,
underrated,
understated,
underwater,underwater
unfunny,
unintentionally funny,
unique,unique
united nations,
unlikeable characters,
unlikely friendships,
unrealistic,
unusual plot structure,
us history,us history
utopia,utopia
vampire,
vampire human love,
vampires,vampires
vengeance,
very funny,
very good,
very interesting,
video game,
video game adaptation,
video games,video games
videogame,
vienna,vienna
vietnam,vietnam
vietnam war,
view askew,
vigilante,
vigilantism,
violence,violence
violent,
virginity,
virtual reality,virtual reality
virus,virus
visceral,
visual,visual
visually appealing,
visually stunning,
visuals,
voodoo,voodoo
voyeurism,
war,war
war movie,
wartime,
waste of time,waste of time
watch the credits,
weapons,
wedding,
weed,
weird,weird
werewolf,
werewolves,werewolves
western,western
whimsical,
wilderness,wilderness
wine,wine
wistful,
witch,
witches,witches
witty,witty
wizards,wizards
women,women
working class,
workplace,workplace
world politics,
world war i,world war i
world war ii,world war ii
writer's life,
writers,writers
writing,writing
wuxia,
wwii,
zombie,
zombies,zombies
,2000s
,20th century
,21st century
,3 stars
,4 stars
,5 stars
,abuse
,adult
,afghanistan
,african americans
,airplanes
,all time favorites
,alpha
,alpha males
,america
,american
,americas
,angels
,angst
,anthology
,anti heroes
,apocalyptic
,arc
,asia
,autobiography
,bad boys
,banned books
,beach read
,bikers
,billionaires
,biology
,bomb
,books about books
,book boyfriends
,made me cry
,canadian
,cartoons
,celebrity
,chapter book
,chick lit
,children's books
,civil rights
,cliffhanger
,comic read
,contemporary
,contempor​ary
,cozy mystery
,cults
,cultural
,culture
,dark romance
,deserts
,disasters
,diversity
,dual pov
,dysfunctional families
,economics
,education
,elementary
,enemy to lover
,english
,epic fantasy
,epistolary
,essays
,europe
,fairies
,fairytale retellings
,faith
,families
,family relationships
,father daughter relationships
,father son relationships
,female protagonist
,feminism
,feminist
,fiction
,fighters
,finance
,fluff
,forbidden love
,friend to lover
,gender
,lgbtqia
,gods
,graphic
,graphic novels
,graphics
,greek
,greek mythology
,greeks
,grief
,guilty pleasures
,happily ever after
,health
,heists
,holidays
,hostages
,hot
,hotels
,humour
,illustrated
,imaginary friends
,islands
,juvenile
,kick ass heroines
,king
,leadership
,legal
,literary
,literary fiction
,laugh out loud
,loved
,loved it
,mf romance
,mm romance
,magical realism
,male pov
,management
,manga
,motorcycles
,medical
,medicine
,meh
,memoir
,mental health
,mermaids
,middle grade
,middle school
,mobs
,modern
,modern classic
,modern fiction
,mother daughter relationships
,mother son relationships
,multicultural
,mummies
,mystery series
,new adult
,natural disasters
,ninjas
,non-fiction
,nook
,novel
,novella
,oceans
,on writing
,paranormal
,parenting
,personal development
,personal growth
,physics
,picture books
,plays
,people of color
,police procedural
,popular science
,post apocalypse
,presidents
,prisons
,psychological thriller
,realistic fiction
,recommended
,reference
,regency
,religious
,retellings
,road trips
,robberies
,rock stars
,royalty
,runaways
,scandinavian
,scripts
,self development
,self help
,self improvement
,sequential art
,serial killers
,shapeshifters
,sharks
,short story
,small towns
,smut
,social justice
,sociology
,southern
,speculative fiction
,spiritual
,spirituality
,sport
,standalone
,steamy
,sub
,submarines
,summer
,sweden
,tattoos
,teachers
,theater
,theology
,young adult
,true crime
,tween
,urban fantasy
,uk
,urban
,usa
,vamp
,victorians
,vigilantes
,virgin heroines
,weddings
,women's fiction
,work
,youth
